"system.cpu.load[percpu,avg1]_avg","icmppingsec[,{$PINGS},,,]_avg","icmpping[,{$PING},,,]_avg",vm.memory.size[total]_avg,vm.memory.size[available]_avg,"vfs.fs.size[,free]_avg"
0.0,0.1739130434782608,0.0,0.0,0.9932196789618676,1.0
0.0177850844417874,0.1984789339076591,0.0,0.0,0.9912295859952548,0.9960338179544124
0.0059781796442982,0.1412706959213891,0.0,0.0,1.0000000000000002,0.9898896067120404
0.0289941712748467,0.1777493606138107,0.0,0.0,0.9914401651440544,0.9872177483543964
0.0082947242564638,0.1722977520527662,0.0,0.0,0.9979401476663624,0.9823481240803176
0.010461814377522,0.217391304347826,0.0,0.0,0.965717835716256,0.974734928323187
0.0115827230608279,0.1704805491990846,0.0,0.0,0.8950200324335131,0.9711658716062176
0.0143476311463159,0.2324000538430475,0.0,0.0,0.8680249849068635,0.968581351276498
0.0254072634882678,0.2300444205142011,0.0,0.0,0.8674916034942903,0.9609525458456574
0.0286952622926318,0.1526450397092475,0.0,0.0,0.8779414374102605,0.9580987624513
0.0214467194739201,0.1711535872930408,0.0,0.0,0.8830348749376016,0.953808219000166
0.0153190853385143,0.2165836586350787,0.0,0.0,0.9025796629496372,0.9503867917244406
0.0194290838439694,0.1517700901871045,0.0,0.0,0.91438514376312,0.9410841876303948
0.0174861754595725,0.1624713958810068,0.0,0.0,0.910006856126324,0.94166719752252
0.0091914512031086,0.1547987616099071,0.0,0.0,0.9125038476314976,0.9431634418576778
0.0230159916305484,0.121348768340288,0.0,0.0,0.9149018570065504,0.9329075054949952
0.026154535943805,0.1238390092879256,0.0,0.0,0.9114051436540492,0.9206169966441848
0.0197279928261844,0.1311751245120473,0.0,0.0,0.9160516473805796,0.9177455476678916
0.0147212673740845,0.1196661731053977,0.0,0.0,0.9102983803202084,0.9153564756823016
0.0118816320430428,0.1480010768609503,0.0,0.0,0.9134114057485104,0.9142811290664667
0.011283814078613,0.1464530892448512,0.0,0.0,0.9132346357318082,0.9116002856280828
0.0139739949185472,0.1843451339345806,0.0,0.0,0.9227466983942898,0.9068242280227424
0.0286952622926318,0.1543949387535334,0.0,0.0,0.8899184028202585,0.8915645460235737
0.3207293379166043,0.1537219006595773,0.0,0.0,0.8783211768855537,0.8899583182114839
0.047675982663279,0.1506932292367748,0.0,0.0,0.8972732201107907,0.8740966967357053
0.0348228964280376,0.1265311616637501,0.0,0.0,0.8905662451661684,0.8861303998030508
0.0402032581079061,0.1706151568178758,0.0,0.0,0.8924213568447754,0.8826216497279802
0.0526827081153788,0.2500336519046978,0.0,0.0,0.9135902356839678,0.8798281729757491
0.0430428934389478,0.1387131511643559,0.0,0.0,0.9154523078514692,0.8784652124104468
0.0487221641010312,0.1722977520527662,0.0,0.0,0.910956973621651,0.8683121932917857
0.0510387087131968,0.117714362632925,0.0,0.0,0.913191406534002,0.8562400066678038
0.0532805260798086,0.1204738188181451,0.0,0.0,0.9090517741264204,0.8616959912026232
0.0440143476311462,0.2052093148472203,0.0,0.0,0.9056380559034304,0.8580780800143657
0.0461814377522044,0.1496836720958406,0.0,0.0,0.8875850134826861,0.8514982598867391
0.0490210730832461,0.1449724054381478,0.0,0.0,0.9055890514906716,0.8473646964521322
0.0498430727843371,0.1692690806299636,0.0,0.0,0.9050930685139528,0.8434525619502438
0.0607532506351815,0.1263965540449589,0.0,0.0,0.910513098749098,0.8321237308325635
0.0531310715887012,0.1178489702517162,0.0,0.0,0.9010822421370348,0.8616688075269394
0.0559707069197429,0.1446358863911697,0.0,0.0,0.8977128631249216,0.8595990561643703
0.0462561649977581,0.1389150625925427,0.0,0.0,0.9006216716270425,0.8572879564026152
0.0462561649977581,0.1786243101359537,0.0,0.0,0.8991124970061042,0.8543853185367425
0.0484232551188162,0.1494817606676537,0.0,0.0,0.9011647776982104,0.8524890249145756
0.0438648931400388,0.2234486471934311,0.0,0.0,0.889430017755162,0.8503068534432714
0.0494694365565685,0.1673172701574908,0.0,0.0,0.8965357708016735,0.8438788964049309
0.0544761620086683,0.1195315654866065,0.0,0.0,0.8998377830823203,0.8316756494373294
0.0524585263787176,0.1711535872930408,0.0,0.0,0.8981844396047531,0.819608655885304
0.0493947093110147,0.1365594292636963,0.0,0.0,0.8817821277596707,0.8116596617810501
0.1417575848154236,0.1187912235832548,0.0,0.0,0.8838265496930737,0.8088214728315961
0.1676132117770138,0.2017768205680441,0.0,0.0,0.8888619866128014,0.8135434676644309
0.0430428934389478,0.1477991654327635,0.0,0.0,0.8951666413339456,0.8105420548290567
0.0562696159019578,0.1674518777762821,0.0,0.0,0.8982898626773337,0.7907339880268864
0.05731579733971,0.2063534796069457,0.0,0.0,0.8934103842556984,0.7872751432209952
0.064489612912868,0.1362902140261138,0.0,0.0,0.8755670582531729,0.7999856512833503
0.0807801524435809,0.1642885987346883,0.0,0.0,0.8676792731796557,0.793290441401723
0.0547003437453295,0.2398034728765647,0.0,0.0,0.8718417641382412,0.7842238251164417
0.0519354356598415,0.15567371113205,0.0,0.0,0.8760876808116642,0.7836697045427172
0.0541772530264534,0.224525508143761,0.0,0.0,0.8853411321998468,0.7820853150446965
0.0535047078164698,0.1550679768474895,0.0,0.0,0.8878910889104616,0.7670293963963104
0.0652368853684053,0.1206757302463319,0.0,0.0,0.8917739049556108,0.7548335050116748
0.0481243461366013,0.1797011710862835,0.0,0.0,0.8983547296355816,0.7362002146398936
0.049319982065461,0.1218198950060573,0.0,0.0,0.9001314376177931,0.7538655986379581
0.0544761620086683,0.1428859873468838,0.0,0.0,0.8750259119262573,0.7946539197512266
0.0440890748766999,0.170951675864854,0.0,0.0,0.8581578068872275,0.7911103410676787
0.0479748916454939,0.118050881679903,0.0,0.0,0.8540158193275726,0.7783977466392571
0.0427439844567329,0.1362229102167182,0.0,0.0,0.8695562649049031,0.77056309149134
0.0606785233896278,0.1167721093013864,0.0,0.0,0.8906363996471152,0.7660053561130553
0.052084890150949,0.2321981424148607,0.0,0.0,0.8880978328520812,0.7568670114733322
0.046853982962188,0.1276753264234755,0.0,0.0,0.8970036911947459,0.7394469810883493
0.0461814377522044,0.1416072149683672,0.0,0.0,0.8910745841964463,0.7599744634874241
0.0715139739949185,0.1254543007134203,0.0,0.0,0.8827748545736127,0.7501187743880564
0.0464056194888656,0.1323192892717727,0.0,0.0,0.879904047973382,0.7527947902492542
0.0888506949633836,0.1368959483106743,0.0,0.0,0.8681618676113814,0.7495043624012396
0.3840980421461664,0.117377843585947,0.0,0.0,0.8731908949906764,0.7307442453338808
